week_start,source_country,target_country,event_count,avg_intensity,min_intensity,trade_event_count,trade_avg_intensity
2014-12-30,Brazil,India,1,2.8,2.8,0,
2014-12-30,Brazil,United States,7,1.4285714285714286,1.0,0,
2014-12-30,Canada,United States,1,1.0,1.0,0,
2014-12-30,China,India,2,-2.2,-4.4,0,
2014-12-30,China,Japan,8,5.625,3.0,0,
2014-12-30,China,South Korea,11,1.2727272727272727,-7.0,0,
2014-12-30,China,United States,1,7.0,7.0,0,
2014-12-30,France,Germany,10,2.8,1.0,0,
2014-12-30,France,India,2,3.4,2.8,0,
2014-12-30,France,United States,1,0.0,0.0,0,
2014-12-30,Germany,France,9,2.6666666666666665,1.0,0,
2014-12-30,Germany,South Korea,2,7.4,7.4,0,
2014-12-30,India,Brazil,1,1.9,1.9,0,
2014-12-30,India,China,1,0.0,0.0,0,
2014-12-30,India,France,3,0.6333333333333333,0.0,0,
2014-12-30,India,Japan,14,-5.578571428571428,-9.0,0,
2014-12-30,India,South Korea,2,1.0,1.0,0,
2014-12-30,India,United States,17,2.052941176470588,-4.4,0,
2014-12-30,Japan,China,8,5.6875,3.5,0,
2014-12-30,Japan,India,1,2.8,2.8,0,
2014-12-30,Japan,South Korea,3,4.5,3.0,0,
2014-12-30,Japan,United States,3,2.8000000000000003,1.0,0,
2014-12-30,Mexico,United States,3,3.0,1.0,0,
2014-12-30,South Korea,China,13,1.7538461538461538,-9.0,0,
2014-12-30,South Korea,India,3,0.6666666666666666,0.0,0,
2014-12-30,South Korea,Japan,5,-2.2,-5.0,0,
2014-12-30,South Korea,United States,4,2.5,-2.0,0,
2014-12-30,United States,Brazil,8,1.675,1.0,0,
2014-12-30,United States,Canada,1,1.0,1.0,0,
2014-12-30,United States,China,10,2.2399999999999998,-2.0,0,
2014-12-30,United States,India,25,2.436,0.0,0,
2014-12-30,United States,Japan,2,0.7,0.4,0,
2014-12-30,United States,Mexico,4,-3.25,-9.0,0,
2014-12-30,United States,South Korea,1,0.0,0.0,0,
2015-01-06,Brazil,France,1,3.4,3.4,0,
2015-01-06,Brazil,United States,1,-0.1,-0.1,0,
2015-01-06,Canada,France,6,2.033333333333333,0.0,0,
2015-01-06,Canada,United States,2,1.7,0.0,0,
2015-01-06,China,Canada,1,4.5,4.5,0,
2015-01-06,China,France,10,2.5,0.0,0,
2015-01-06,China,Germany,1,0.4,0.4,0,
2015-01-06,China,Japan,23,3.260869565217391,-7.2,0,
2015-01-06,China,South Korea,9,2.1555555555555554,-5.0,0,
2015-01-06,China,United States,14,1.657142857142857,-0.4,0,
2015-01-06,Denmark,France,4,2.7,-2.0,0,
2015-01-06,Denmark,India,1,-9.0,-9.0,0,
2015-01-06,France,Canada,2,2.0,1.0,0,
2015-01-06,France,China,2,-2.3,-5.0,0,
2015-01-06,France,Germany,54,1.8944444444444444,-10.0,0,
2015-01-06,France,India,1,3.4,3.4,0,
2015-01-06,France,Japan,6,2.433333333333333,0.0,0,
2015-01-06,France,South Korea,1,3.0,3.0,0,
2015-01-06,France,United States,27,2.8814814814814813,0.0,0,
2015-01-06,Germany,China,1,0.4,0.4,0,
2015-01-06,Germany,France,56,1.967857142857143,-5.0,0,
2015-01-06,Germany,United States,11,2.127272727272727,0.0,0,
2015-01-06,India,Denmark,2,-9.0,-9.0,0,
2015-01-06,India,France,21,2.123809523809524,-2.0,0,
2015-01-06,India,Japan,6,-1.3499999999999999,-9.0,0,
2015-01-06,India,South Korea,13,2.8923076923076922,1.0,0,
2015-01-06,India,United States,87,2.0436781609195402,-9.5,0,
2015-01-06,Japan,China,18,4.611111111111111,-2.0,0,
2015-01-06,Japan,France,15,2.506666666666667,-2.0,0,
2015-01-06,Japan,India,9,2.7555555555555555,-2.0,0,
2015-01-06,Japan,South Korea,12,4.141666666666667,-0.3,0,
2015-01-06,Japan,United States,22,3.0772727272727276,1.0,0,
2015-01-06,Mexico,United States,31,0.9774193548387097,-5.0,0,
2015-01-06,South Korea,China,7,1.7142857142857142,0.0,0,
2015-01-06,South Korea,France,10,3.02,0.0,0,
2015-01-06,South Korea,India,34,2.514705882352941,-5.0,0,
2015-01-06,South Korea,Japan,18,2.611111111111111,-5.0,0,
2015-01-06,South Korea,United States,23,0.9478260869565218,-5.0,0,
2015-01-06,United States,Canada,3,-1.6666666666666667,-5.0,0,
2015-01-06,United States,China,16,0.98125,-2.0,0,
2015-01-06,United States,France,100,2.949,-9.0,0,
2015-01-06,United States,Germany,9,1.7999999999999998,1.0,0,
