week_start,source_country,target_country,event_count,avg_intensity,min_intensity,trade_event_count,trade_avg_intensity,year,gdelt_confidence
2014-12-29,Brazil,India,1,2.8,2.8,0,,2014,low
2014-12-29,Brazil,United States,7,1.4285714285714286,1.0,0,,2014,low
2014-12-29,Canada,United States,1,1.0,1.0,0,,2014,low
2014-12-29,China,India,2,-2.2,-4.4,0,,2014,moderate
2014-12-29,China,Japan,7,6.0,4.0,0,,2014,moderate
2014-12-29,China,South Korea,2,1.0,-5.0,0,,2014,moderate
2014-12-29,China,United States,1,7.0,7.0,0,,2014,high
2014-12-29,France,Germany,4,3.25,1.0,0,,2014,unvalidated
2014-12-29,France,India,1,4.0,4.0,0,,2014,unvalidated
2014-12-29,Germany,France,4,3.25,1.0,0,,2014,unvalidated
2014-12-29,Germany,South Korea,2,7.4,7.4,0,,2014,unvalidated
2014-12-29,India,Brazil,1,1.9,1.9,0,,2014,low
2014-12-29,India,China,1,0.0,0.0,0,,2014,moderate
2014-12-29,India,France,2,0.0,0.0,0,,2014,unvalidated
2014-12-29,India,Japan,14,-5.578571428571428,-9.0,0,,2014,unvalidated
2014-12-29,India,South Korea,2,1.0,1.0,0,,2014,unvalidated
2014-12-29,India,United States,16,2.45625,0.0,0,,2014,low
2014-12-29,Japan,China,7,6.0,4.0,0,,2014,moderate
2014-12-29,Japan,India,1,2.8,2.8,0,,2014,unvalidated
2014-12-29,Mexico,United States,2,2.5,1.0,0,,2014,moderate
2014-12-29,South Korea,China,3,2.6,0.4,0,,2014,moderate
2014-12-29,South Korea,India,3,0.6666666666666666,0.0,0,,2014,unvalidated
2014-12-29,South Korea,United States,1,-2.0,-2.0,0,,2014,unvalidated
2014-12-29,United States,Brazil,8,1.675,1.0,0,,2014,low
2014-12-29,United States,Canada,1,1.0,1.0,0,,2014,low
2014-12-29,United States,China,7,2.2,-2.0,0,,2014,high
2014-12-29,United States,India,20,2.245,0.4,0,,2014,low
2014-12-29,United States,Mexico,2,2.5,1.0,0,,2014,moderate
2014-12-29,United States,South Korea,1,0.0,0.0,0,,2014,unvalidated
2015-01-05,Brazil,France,1,3.4,3.4,0,,2015,unvalidated
2015-01-05,Brazil,United States,1,-0.1,-0.1,0,,2015,low
2015-01-05,Canada,France,5,2.2399999999999998,0.0,0,,2015,unvalidated
2015-01-05,Canada,United States,1,3.4,3.4,0,,2015,low
2015-01-05,China,Canada,1,4.5,4.5,0,,2015,unvalidated
2015-01-05,China,France,9,2.733333333333333,0.0,0,,2015,unvalidated
2015-01-05,China,Japan,3,2.1333333333333333,0.4,0,,2015,moderate
2015-01-05,China,South Korea,16,1.525,-7.0,0,,2015,moderate
2015-01-05,China,United States,11,1.9636363636363638,0.0,0,,2015,high
2015-01-05,Denmark,France,4,2.7,-2.0,0,,2015,unvalidated
2015-01-05,Denmark,India,1,-9.0,-9.0,0,,2015,low_use_EUR_proxy
2015-01-05,France,Canada,1,3.0,3.0,0,,2015,unvalidated
2015-01-05,France,China,1,-5.0,-5.0,0,,2015,unvalidated
2015-01-05,France,Germany,34,2.2764705882352945,-10.0,0,,2015,unvalidated
2015-01-05,France,India,2,3.0999999999999996,2.8,0,,2015,unvalidated
2015-01-05,France,Japan,6,2.433333333333333,0.0,0,,2015,unvalidated
2015-01-05,France,South Korea,1,3.0,3.0,0,,2015,unvalidated
2015-01-05,France,United States,23,2.7130434782608694,0.0,0,,2015,unvalidated
2015-01-05,Germany,France,34,2.1294117647058823,-4.4,0,,2015,unvalidated
2015-01-05,Germany,United States,11,2.127272727272727,0.0,0,,2015,moderate
2015-01-05,India,Denmark,1,-9.0,-9.0,0,,2015,low_use_EUR_proxy
2015-01-05,India,France,22,2.1136363636363638,-2.0,0,,2015,unvalidated
2015-01-05,India,Japan,4,-2.5,-9.0,0,,2015,unvalidated
2015-01-05,India,South Korea,10,2.92,1.0,0,,2015,unvalidated
2015-01-05,India,United States,50,1.41,-9.5,0,,2015,low
2015-01-05,Japan,China,2,0.75,-2.0,0,,2015,moderate
2015-01-05,Japan,France,15,2.506666666666667,-2.0,0,,2015,unvalidated
2015-01-05,Japan,India,8,2.75,-2.0,0,,2015,unvalidated
2015-01-05,Japan,South Korea,14,4.228571428571429,-0.3,0,,2015,unvalidated
2015-01-05,Japan,United States,25,3.0439999999999996,1.0,0,,2015,unvalidated
2015-01-05,Mexico,United States,31,1.2677419354838708,-5.0,0,,2015,moderate
2015-01-05,South Korea,China,15,1.5333333333333334,-9.0,0,,2015,moderate
2015-01-05,South Korea,France,9,2.977777777777778,0.0,0,,2015,unvalidated
2015-01-05,South Korea,India,25,3.136,0.0,0,,2015,unvalidated
2015-01-05,South Korea,Japan,18,1.4444444444444444,-5.0,0,,2015,unvalidated
2015-01-05,South Korea,United States,21,1.5714285714285714,-5.0,0,,2015,unvalidated
2015-01-05,United States,Canada,2,0.0,0.0,0,,2015,low
2015-01-05,United States,China,11,1.736363636363636,-2.0,0,,2015,high
2015-01-05,United States,France,76,2.6999999999999997,-9.0,0,,2015,unvalidated
2015-01-05,United States,Germany,9,1.7999999999999998,1.0,0,,2015,moderate
2015-01-05,United States,India,89,2.137078651685393,-5.0,0,,2015,low
2015-01-05,United States,Japan,18,1.9500000000000002,0.0,0,,2015,unvalidated
2015-01-05,United States,Mexico,39,0.5846153846153845,-9.0,0,,2015,moderate
2015-01-05,United States,South Korea,16,2.075,-5.0,0,,2015,unvalidated
2015-01-12,Brazil,Germany,2,2.0,1.0,0,,2015,moderate
2015-01-12,Brazil,India,1,3.0,3.0,0,,2015,low
2015-01-12,Brazil,Japan,2,2.0,1.0,0,,2015,unvalidated
2015-01-12,Canada,France,1,1.0,1.0,0,,2015,unvalidated
2015-01-12,Canada,India,1,0.0,0.0,0,,2015,unvalidated
2015-01-12,Canada,Japan,1,2.8,2.8,0,,2015,unvalidated
2015-01-12,Canada,Mexico,3,-6.5,-6.5,0,,2015,unvalidated
2015-01-12,Canada,United States,11,0.5545454545454546,-6.5,0,,2015,low
2015-01-12,China,France,2,-0.8,-2.0,0,,2015,unvalidated
2015-01-12,China,Germany,1,0.4,0.4,0,,2015,moderate
2015-01-12,China,India,4,3.975,3.4,0,,2015,moderate
2015-01-12,China,Japan,33,3.309090909090909,-7.2,0,,2015,moderate
2015-01-12,China,South Korea,5,3.56,2.8,0,,2015,moderate
2015-01-12,China,United States,7,1.7857142857142858,-0.4,0,,2015,high
2015-01-12,Denmark,France,1,0.0,0.0,0,,2015,unvalidated
2015-01-12,Denmark,South Korea,1,1.9,1.9,0,,2015,unvalidated
2015-01-12,Denmark,United States,1,1.0,1.0,0,,2015,low_use_EUR_proxy
2015-01-12,France,Canada,1,1.0,1.0,0,,2015,unvalidated
2015-01-12,France,China,2,0.2,0.0,0,,2015,unvalidated
2015-01-12,France,Germany,49,1.6877551020408164,-10.0,0,,2015,unvalidated
2015-01-12,France,India,4,3.7,2.8,0,,2015,unvalidated
2015-01-12,France,Japan,8,3.8375,2.8,0,,2015,unvalidated
2015-01-12,France,United States,39,1.9256410256410255,-10.0,0,,2015,unvalidated
2015-01-12,Germany,Brazil,2,2.0,1.0,0,,2015,moderate
2015-01-12,Germany,Canada,2,4.0,4.0,0,,2015,unvalidated
2015-01-12,Germany,China,1,0.4,0.4,0,,2015,moderate
2015-01-12,Germany,France,51,1.6196078431372547,-5.0,0,,2015,unvalidated
2015-01-12,Germany,India,4,3.75,3.0,0,,2015,low
2015-01-12,Germany,Japan,2,2.0,1.0,0,,2015,unvalidated
2015-01-12,Germany,South Korea,1,1.0,1.0,0,,2015,unvalidated
2015-01-12,Germany,United States,8,1.525,-2.0,0,,2015,moderate
2015-01-12,India,Brazil,1,3.0,3.0,0,,2015,low
2015-01-12,India,Canada,1,4.0,4.0,0,,2015,unvalidated
2015-01-12,India,China,9,2.566666666666667,-0.4,0,,2015,moderate
2015-01-12,India,Denmark,2,-9.25,-9.5,0,,2015,low_use_EUR_proxy
2015-01-12,India,France,3,3.7000000000000006,1.9,0,,2015,unvalidated
2015-01-12,India,Germany,2,3.5,3.0,0,,2015,low
